ds,y
8/1/2020,6458.84
8/1/2020,1169.08
8/1/2020,1045.17
8/1/2020,6458.84
8/1/2020,944.40
8/1/2020,1928.73
8/3/2020,404.04
8/3/2020,6500.00
8/3/2020,386.58
8/3/2020,477.02
8/3/2020,412.54
8/3/2020,520.26
8/3/2020,365.00
8/3/2020,2500.24
8/3/2020,1859.22
8/3/2020,2675.67
8/3/2020,1500.00
8/3/2020,177.18
8/4/2020,658.98
8/4/2020,914.10
8/4/2020,1265.00
8/6/2020,639.62
8/6/2020,811.13
8/7/2020,127.50
8/7/2020,572.42
8/7/2020,801.14
8/7/2020,151.48
8/7/2020,556.13
8/8/2020,149.08
8/10/2020,1600.00
8/10/2020,6500.00
8/10/2020,1626.80
8/10/2020,1615.00
8/12/2020,143.74
8/12/2020,170.00
8/12/2020,280.00
8/12/2020,403.98
8/13/2020,400.49
8/13/2020,115.00
8/13/2020,151.68
8/14/2020,3760.00
8/14/2020,4417.80
8/14/2020,38.06
8/14/2020,577.33
8/17/2020,4878.70
8/17/2020,13869.00
8/17/2020,455.00
8/17/2020,5275.44
8/17/2020,450.00
8/17/2020,20707.50
8/17/2020,1200.00
8/18/2020,11329.80
8/19/2020,170.00
8/20/2020,7472.22
8/20/2020,272.50
8/20/2020,285.27
8/21/2020,450.00
8/21/2020,720.00
8/21/2020,578.42
8/24/2020,6135.60
8/24/2020,983.42
8/24/2020,1977.86
8/24/2020,410.90
8/25/2020,3584.24
8/25/2020,1180.00
8/25/2020,522.33
8/26/2020,737.31
8/26/2020,1095.00
8/26/2020,1317.96
8/27/2020,4570.00
8/27/2020,814.12
8/27/2020,1065.15
8/27/2020,997.77
8/28/2020,44310.00
8/28/2020,2051.69
8/28/2020,1696.44
8/31/2020,22016.85
8/31/2020,2930.32
8/31/2020,961.80
9/1/2020,254.77
9/1/2020,1350.38
9/2/2020,2074.00
9/3/2020,1310.12
9/3/2020,1318.23
9/3/2020,1009.84
9/3/2020,2100.00
9/7/2020,20520.77
9/8/2020,853.60
9/8/2020,5255.64
9/8/2020,2004.08
9/8/2020,460.13
9/9/2020,873.31
9/9/2020,1600.00
9/9/2020,800.00
9/9/2020,130.90
9/10/2020,2329.92
9/14/2020,455.00
9/14/2020,1399.42
9/14/2020,505.00
9/14/2020,528.44
9/14/2020,5745.72
9/14/2020,300.00
9/14/2020,8815.50
9/14/2020,1137.38
9/15/2020,700.00
9/16/2020,12500.06
9/16/2020,480.51
9/16/2020,4933.56
9/16/2020,385.00
9/17/2020,1541.00
9/17/2020,11329.80
9/17/2020,680.00
9/17/2020,474.30
9/18/2020,2435.12
9/21/2020,4465.40
9/21/2020,980.00
9/22/2020,382.12
9/22/2020,1695.18
9/23/2020,3464.84
9/24/2020,2765.87
9/24/2020,913.05
9/24/2020,742.22
9/25/2020,202.64
9/28/2020,9817.50
9/28/2020,6877.94
9/28/2020,2465.00
9/28/2020,16618.65
9/28/2020,1612.36
9/28/2020,6500.00
9/28/2020,26129.77
9/28/2020,135.00
9/28/2020,1404.65
9/29/2020,365.00
9/29/2020,5048.20
9/29/2020,529.36
9/29/2020,400.00
9/29/2020,544.56
9/29/2020,455.00
9/30/2020,815.74
10/1/2020,2899.72
10/1/2020,1200.00
10/2/2020,8983.03
10/5/2020,9603.95
10/5/2020,6295.68
10/6/2020,34433.56
10/6/2020,31718.19
10/6/2020,3979.50
10/8/2020,512.12
10/8/2020,889.50
10/8/2020,3054.38
10/12/2020,1271.24
10/12/2020,5980.64
10/12/2020,485.29
10/13/2020,1400.00
10/13/2020,1145.96
10/14/2020,1160.35
10/14/2020,4055.10
10/14/2020,380.48
10/14/2020,3237.50
10/14/2020,3062.50
10/14/2020,2650.00
10/14/2020,5478.00
10/15/2020,763.43
10/16/2020,815.54
10/16/2020,36166.82
10/17/2020,1640.12
10/17/2020,26001.42
10/19/2020,959.62
10/19/2020,6120.76
10/19/2020,1826.02
10/21/2020,3626.75
10/21/2020,1815.08
10/21/2020,2349.39
10/22/2020,1400.00
10/23/2020,362.53
10/23/2020,4362.50
10/26/2020,5835.60
10/28/2020,1400.00
10/28/2020,27492.00
10/28/2020,3965.00
10/29/2020,1885.38
10/30/2020,12009.20
10/30/2020,454.50
10/30/2020,55.00
10/30/2020,314.10
10/30/2020,1150.00
11/2/2020,522.44
11/2/2020,5450.64
11/3/2020,2340.00
11/3/2020,34154.87
11/3/2020,1400.00
11/4/2020,1106.65
11/4/2020,1245.12
11/5/2020,400.00
11/5/2020,1280.00
11/6/2020,237.65
11/6/2020,170.00
11/9/2020,1031.92
11/9/2020,4110.00
11/9/2020,4035.60
11/9/2020,240.00
11/9/2020,1140.16
11/9/2020,775.00
11/9/2020,948.42
11/10/2020,29.93
11/10/2020,480.00
11/10/2020,1870.24
11/10/2020,3117.53
11/10/2020,9052.50
11/10/2020,6065.84
11/10/2020,195.00
11/10/2020,250.00
11/11/2020,90.00
11/11/2020,273.78
11/11/2020,31.36
11/12/2020,310.67
11/12/2020,90.00
11/12/2020,500.00
11/13/2020,1965.94
11/13/2020,3571.53
11/13/2020,3300.00
11/13/2020,13644.00
11/13/2020,6955.92
11/13/2020,5242.50
11/13/2020,1080.00
11/16/2020,5077.48
11/16/2020,1380.00
11/16/2020,13960.00
11/16/2020,30369.94
11/16/2020,5160.00
11/16/2020,805.39
11/16/2020,6489.27
11/17/2020,1400.00
11/17/2020,5140.50
11/18/2020,170.00
11/18/2020,221.38
11/18/2020,695.12
11/18/2020,39.92
11/18/2020,240.00
11/20/2020,944.00
11/20/2020,2441.02
11/20/2020,1815.00
11/20/2020,476.76
11/20/2020,1631.15
11/21/2020,3225.15
11/23/2020,6500.00
11/23/2020,1250.00
11/23/2020,1027.73
11/24/2020,445.00
11/24/2020,3218.01
11/24/2020,735.04
11/24/2020,1143.75
11/24/2020,470.00
11/25/2020,3270.00
11/25/2020,2034.89
11/30/2020,458.51
11/30/2020,3920.64
11/30/2020,600.00
11/30/2020,1979.36
11/30/2020,285.00
11/30/2020,1668.36
12/1/2020,195.00
12/1/2020,170.00
12/2/2020,6082.50
12/2/2020,990.00
12/2/2020,1642.05
12/2/2020,885.00
12/2/2020,1630.83
12/3/2020,2140.00
12/3/2020,545.40
12/3/2020,55.00
12/3/2020,410.35
12/3/2020,663.24
12/3/2020,645.00
12/3/2020,1400.00
12/4/2020,2728.31
12/7/2020,4539.00
12/7/2020,500.00
12/7/2020,170.00
12/7/2020,216.80
12/7/2020,413.77
12/7/2020,6200.96
12/7/2020,299.04
12/8/2020,1870.00
12/8/2020,2195.16
12/8/2020,1000.73
12/8/2020,940.00
12/8/2020,195.00
12/8/2020,260.00
12/8/2020,3025.00
12/9/2020,2951.08
12/10/2020,2410.00
12/10/2020,5221.46
12/11/2020,2106.25
12/14/2020,4134.00
12/14/2020,1420.00
12/14/2020,4060.48
12/15/2020,428.34
12/16/2020,1870.00
12/16/2020,907.97
12/17/2020,2072.50
12/18/2020,49.86
12/18/2020,1400.00
12/20/2020,883.31
12/21/2020,1994.00
12/21/2020,1870.00
12/21/2020,2005.00
12/21/2020,1145.00
12/21/2020,1246.48
12/21/2020,19200.00
12/22/2020,2185.00
12/23/2020,2185.00
12/23/2020,1870.00
12/23/2020,315.00
12/28/2020,1455.00
12/28/2020,980.00
12/28/2020,700.00
12/28/2020,24.93
01/04/2021,1870.00
01/04/2021,11335.86
01/04/2021,321.04
01/04/2021,340.00
01/04/2021,8586.11
01/04/2021,480.60
01/04/2021,552.64
01/05/2021,1400.00
01/05/2021,10020.00
01/05/2021,893.34
01/05/2021,1189.24
01/05/2021,10396.18
01/05/2021,965.90
01/06/2021,2641.60
01/06/2021,3838.75
01/06/2021,506.20
01/06/2021,120.91
01/06/2021,1339.40
01/06/2021,8958.16
01/06/2021,365.00
01/06/2021,2261.36
01/06/2021,666.44
01/06/2021,2300.00
01/07/2021,2557.16
01/07/2021,380.00
01/08/2021,2117.50
01/08/2021,10343.83
01/08/2021,320.00
01/11/2021,1870.00
01/11/2021,5496.35
01/11/2021,15222.50
01/11/2021,9863.24
01/11/2021,2160.00
01/12/2021,3931.50
01/12/2021,1870.00
01/12/2021,480.00
01/12/2021,793.32
01/12/2021,1455.05
01/12/2021,914.50
01/13/2021,1380.16
01/14/2021,1870.00
01/14/2021,1580.00
01/14/2021,450.00
01/20/2021,1568.75
01/20/2021,1971.25
01/20/2021,3243.31
01/20/2021,2800.00
01/21/2021,961.97
01/21/2021,1081.26
01/21/2021,1332.76
01/22/2021,1400.00
01/22/2021,6275.60
01/22/2021,605.32
01/22/2021,3704.82
01/22/2021,1033.31
01/22/2021,504.82
01/22/2021,1400.00
01/23/2021,4208.55
01/23/2021,5580.00
01/23/2021,1350.00
01/25/2021,1737.50
01/25/2021,1327.34
01/25/2021,1142.76
01/26/2021,31815.76
01/27/2021,430.58
01/27/2021,18436.84
01/27/2021,5437.98
02/03/2021,3394.00
02/03/2021,473.49
02/03/2021,770.08
02/03/2021,5177.03
02/03/2021,4921.16
02/03/2021,4055.00
02/05/2021,1429.77
02/05/2021,3768.54
02/05/2021,3745.01
02/05/2021,29165.60
02/05/2021,600.00
02/08/2021,1400.00
02/08/2021,468.35
02/08/2021,1769.05
02/08/2021,2406.61
02/08/2021,613.10
02/08/2021,100.59
02/08/2021,41905.66
02/09/2021,6500.00
02/10/2021,3900.00
02/10/2021,3870.00
02/10/2021,2374.19
02/10/2021,3272.08
02/11/2021,1791.31
02/11/2021,1414.26
02/11/2021,477.25
02/11/2021,32268.36
02/12/2021,14900.00
02/15/2021,536.18
02/15/2021,810.00
02/15/2021,765.72
02/15/2021,755.50
02/15/2021,523.08
02/15/2021,1600.00
02/15/2021,1200.00
02/15/2021,1060.00
02/15/2021,600.00
02/16/2021,765.06
02/16/2021,6636.10
02/17/2021,995.00
02/17/2021,402.72
02/18/2021,1041.33
02/18/2021,563.35
02/19/2021,1060.78
02/19/2021,3774.55
02/22/2021,1400.00
02/22/2021,2341.53
02/22/2021,1325.08
02/22/2021,6400.00
02/23/2021,435.00
02/23/2021,148092.62
02/23/2021,0.00
02/23/2021,17552.32
02/23/2021,433.80
02/23/2021,5036.90
02/23/2021,8957.59
02/23/2021,2200.00
02/24/2021,19097.47
02/26/2021,39550.00
02/26/2021,5602.10
03/03/2021,0.00
03/03/2021,382.68
03/03/2021,5164.88
03/03/2021,418.00
03/03/2021,880.40
03/03/2021,299.40
03/03/2021,556.92
03/04/2021,3500.00
03/04/2021,3422.84
03/04/2021,2350.00
03/05/2021,365.00
03/05/2021,690.66
03/05/2021,2896.80
03/05/2021,461.54
03/11/2021,1400.00
03/11/2021,1400.00
03/11/2021,5392.38
03/11/2021,4345.44
03/11/2021,15916.86
03/11/2021,11293.16
03/11/2021,2070.20
03/11/2021,539.90
03/11/2021,1567.40
03/11/2021,2775.00
03/11/2021,1800.00
03/17/2021,4573.64
03/17/2021,5430.44
03/17/2021,3707.09
03/17/2021,535.38
03/17/2021,1100.00
03/18/2021,1660.12
03/24/2021,13027.71
03/24/2021,442.00
03/24/2021,2690.00
03/24/2021,1509.67
03/24/2021,1803.58
03/24/2021,16454.74
03/24/2021,1390.00
03/24/2021,485.00
03/24/2021,890.00
03/24/2021,484.44
03/24/2021,294.68
03/24/2021,166.66
03/24/2021,390.00
03/24/2021,439.30
03/24/2021,822.00
03/24/2021,5560.52
03/24/2021,322.22
03/24/2021,7100.28
03/24/2021,2482.98
03/24/2021,450.00
03/24/2021,2700.08
03/26/2021,883.31
03/29/2021,1400.00
03/29/2021,1342.32
03/29/2021,1692.20
03/29/2021,9033.94
03/29/2021,23629.35
03/29/2021,5000.00
03/29/2021,1200.00
03/29/2021,6420.00
03/29/2021,2500.00
03/31/2021,11842.20
04/01/2021,517.70
04/01/2021,462.50
04/01/2021,1411.76
04/01/2021,476.24
04/01/2021,449.00
04/01/2021,1050.12
04/01/2021,236.94
04/06/2021,1061.64
04/06/2021,6500.00
04/06/2021,1153.62
04/06/2021,60386.70
04/07/2021,3855.28
04/07/2021,9288.28
04/09/2021,885500.00
04/09/2021,62831.83
04/09/2021,6500.00
04/09/2021,10180.16
04/09/2021,897.10
04/09/2021,1164.04
04/09/2021,3251.98
04/09/2021,2766.78
04/11/2021,1771000.00
04/13/2021,2160.00
04/15/2021,35000.00
04/15/2021,4179.54
04/15/2021,10180.16
04/15/2021,5168.82
04/15/2021,551.82
04/15/2021,6401.59
04/15/2021,762.30
04/15/2021,700.00
04/15/2021,955.00
04/15/2021,604.26
04/15/2021,2325.08
04/15/2021,180.59
04/15/2021,762.70
04/20/2021,885500.00
04/20/2021,610.90
04/20/2021,6381.18
04/20/2021,150191.56
04/20/2021,379.21
04/20/2021,16398.50
04/22/2021,3115.20
04/22/2021,834.34
04/22/2021,1200.76
04/28/2021,530.80
04/28/2021,789.20
04/28/2021,38028.07
04/28/2021,189.40
04/28/2021,591.02
04/28/2021,3799.24
04/28/2021,3580.66
04/28/2021,404.20
04/28/2021,1897.36
04/28/2021,891.70
04/28/2021,9546.95
04/30/2021,3600.00
05/11/2021,750.00
05/11/2021,1033.60
05/11/2021,388.79
